Permutation,H1units,H2units,Batch,Error
0,16,8,50,1
0,16,8,100,1
0,16,12,50,1
0,16,12,100,1
0,24,8,50,1
0,24,8,100,1
0,24,12,50,1
0,24,12,100,1
0,32,8,50,0
0,32,8,100,1
0,32,12,50,0
0,32,12,100,1
1,16,8,50,1
1,16,8,100,1
1,16,12,50,1
1,16,12,100,0
1,24,8,50,1
1,24,8,100,0
1,24,12,50,1
1,24,12,100,0
1,32,8,50,1
1,32,8,100,0
1,32,12,50,1
1,32,12,100,0
2,16,8,50,0
2,16,8,100,1
2,16,12,50,1
2,16,12,100,1
2,24,8,50,1
2,24,8,100,1
2,24,12,50,1
2,24,12,100,1
2,32,8,50,1
2,32,8,100,1
2,32,12,50,0
2,32,12,100,1
3,16,8,50,1
3,16,8,100,1
3,16,12,50,1
3,16,12,100,1
3,24,8,50,1
3,24,8,100,1
3,24,12,50,1
3,24,12,100,1
3,32,8,50,1
3,32,8,100,1
3,32,12,50,1
3,32,12,100,1
4,16,8,50,1
4,16,8,100,1
4,16,12,50,1
4,16,12,100,1
4,24,8,50,1
4,24,8,100,1
4,24,12,50,1
4,24,12,100,1
4,32,8,50,1
4,32,8,100,1
4,32,12,50,1
4,32,12,100,1
5,16,8,50,1
5,16,8,100,1
5,16,12,50,1
5,16,12,100,0
5,24,8,50,1
5,24,8,100,0
5,24,12,50,1
5,24,12,100,0
5,32,8,50,1
5,32,8,100,0
5,32,12,50,1
5,32,12,100,0
6,16,8,50,1
6,16,8,100,1
6,16,12,50,1
6,16,12,100,1
6,24,8,50,1
6,24,8,100,1
6,24,12,50,1
6,24,12,100,1
6,32,8,50,1
6,32,8,100,1
6,32,12,50,1
6,32,12,100,1
7,16,8,50,1
7,16,8,100,1
7,16,12,50,1
7,16,12,100,1
7,24,8,50,1
7,24,8,100,1
7,24,12,50,1
7,24,12,100,1
7,32,8,50,1
7,32,8,100,1
7,32,12,50,1
7,32,12,100,1
8,16,8,50,1
8,16,8,100,0
8,16,12,50,1
8,16,12,100,1
8,24,8,50,1
8,24,8,100,1
8,24,12,50,1
8,24,12,100,1
8,32,8,50,1
8,32,8,100,0
8,32,12,50,1
8,32,12,100,0
9,16,8,50,1
9,16,8,100,1
9,16,12,50,1
9,16,12,100,1
9,24,8,50,1
9,24,8,100,1
9,24,12,50,1
9,24,12,100,1
9,32,8,50,1
9,32,8,100,1
9,32,12,50,1
9,32,12,100,1
10,16,8,50,1
10,16,8,100,1
10,16,12,50,1
10,16,12,100,1
10,24,8,50,1
10,24,8,100,1
10,24,12,50,1
10,24,12,100,1
10,32,8,50,1
10,32,8,100,1
10,32,12,50,1
10,32,12,100,1
11,16,8,50,0
11,16,8,100,1
11,16,12,50,1
11,16,12,100,1
11,24,8,50,0
11,24,8,100,1
11,24,12,50,0
11,24,12,100,1
11,32,8,50,1
11,32,8,100,1
11,32,12,50,0
11,32,12,100,1
12,16,8,50,1
12,16,8,100,1
12,16,12,50,1
12,16,12,100,1
12,24,8,50,1
12,24,8,100,1
12,24,12,50,1
12,24,12,100,1
12,32,8,50,1
12,32,8,100,1
12,32,12,50,1
12,32,12,100,1
13,16,8,50,1
13,16,8,100,1
13,16,12,50,1
13,16,12,100,1
13,24,8,50,1
13,24,8,100,1
13,24,12,50,1
13,24,12,100,1
13,32,8,50,1
13,32,8,100,1
13,32,12,50,0
13,32,12,100,1
14,16,8,50,0
14,16,8,100,1
14,16,12,50,1
14,16,12,100,1
14,24,8,50,1
14,24,8,100,1
14,24,12,50,1
14,24,12,100,1
14,32,8,50,1
14,32,8,100,1
14,32,12,50,1
14,32,12,100,1
15,16,8,50,0
15,16,8,100,1
15,16,12,50,0
15,16,12,100,1
15,24,8,50,0
15,24,8,100,1
15,24,12,50,0
15,24,12,100,1
15,32,8,50,0
15,32,8,100,1
15,32,12,50,0
15,32,12,100,1
16,16,8,50,0
16,16,8,100,1
16,16,12,50,1
16,16,12,100,0
16,24,8,50,0
16,24,8,100,1
16,24,12,50,1
16,24,12,100,1
16,32,8,50,0
16,32,8,100,0
16,32,12,50,0
16,32,12,100,1
17,16,8,50,1
17,16,8,100,1
17,16,12,50,1
17,16,12,100,1
17,24,8,50,1
17,24,8,100,1
17,24,12,50,1
17,24,12,100,1
17,32,8,50,1
17,32,8,100,1
17,32,12,50,1
17,32,12,100,1
18,16,8,50,1
18,16,8,100,1
18,16,12,50,1
18,16,12,100,1
18,24,8,50,1
18,24,8,100,1
18,24,12,50,1
18,24,12,100,1
18,32,8,50,1
18,32,8,100,1
18,32,12,50,1
18,32,12,100,1
19,16,8,50,0
19,16,8,100,1
19,16,12,50,1
19,16,12,100,1
19,24,8,50,1
19,24,8,100,1
19,24,12,50,1
19,24,12,100,1
19,32,8,50,1
19,32,8,100,1
19,32,12,50,0
19,32,12,100,1
